ID,Observed,Species,Salvaged,Sex,Count,LifeStage,LifeState,Disposition,Decomposition,Latitude,Longitude,Highway,Milepost,Note,Reporter,Reported,County,Region,GMU,Path								
1866711,2019-04-29,Yellow-pine Chipmunk (Tamias amoenus),No,Male,1,Mature (Adult),Dead,Fish and Game Removal,Fresh,44.54976058,-111.3333506,US-20,,Intact,idfg-hturner,4/29/19,Fremont,Upper Snake Region,61,https://idfg.idaho.gov/species/roadkill/1866711								
1866704,2019-04-29,White-tailed Deer (Odocoileus virginianus),No,Female,1,Mature (Adult),Dead,Hauled to Barrow Pit,Moderate,43.45441438,-111.3531765,US 26,,Out side swan valley,idfg-wkillian,4/29/19,Bonneville,Upper Snake Region,67,https://idfg.idaho.gov/species/roadkill/1866704								
1866698,2019-04-27,American Robin (Turdus migratorius),No,Unknown,1,Mature (Adult),Dead,Fish and Game Removal,Fresh,44.65318,-111.31184,,,Found during volunteer roadside carcass survey.,idfg-hturner,4/29/19,Fremont,Upper Snake Region,61,https://idfg.idaho.gov/species/roadkill/1866698								
1866694,2019-04-28,Bobcat (Lynx rufus),No,Unknown,1,Unknown,Dead,Unknown,Unknown,43.30047791,-112.2739492,,,"Appeared dead on side of road a few hundred feet South of North Blackfoot - Southbound.								
Rest stop in Bingham County, Idaho.   Beautiful animal.   When I was driving in the opportunity direction to go back and see it There was a truck snd trailer stopped with s man bent over the animal.  When I got to the spot the cat was gone.  I caught up to and followed the vehicle I saw stopped at	the cat so I could ask to see	it.	He	said	I	had	the	wrong guy.  ",Anonymous,4/28/19,Bingham,Southeast Region,63,https://idfg.idaho.gov/species/roadkill/1866694
1866693,2019-04-27,Elk (Cervus canadensis),Yes,Female,1,Unknown,Dead,Unknown,Unknown,47.67687851,-116.8194008,,,"older dry cow, hit on hwy 95 and  summer hill lane",Anonymous,4/27/19,Kootenai,Panhandle Region,5,https://idfg.idaho.gov/species/roadkill/1866693								
1866684,2019-04-26,Elk (Cervus canadensis),Yes,Male,1,Unknown,Dead,Unknown,Unknown,42.56681811,-111.7291986,,,It was a calf bull elk,Anonymous,4/26/19,Caribou,Southeast Region,75,https://idfg.idaho.gov/species/roadkill/1866684								
1866651,2019-04-26,American Badger (Taxidea taxus),No,Unknown,1,Unknown,Dead,Unknown,Unknown,43.57324667,-116.2441668,,,This animal is in approximately the same location as the badger reported today (about 100 ft away). It is a furry mammal of some kind but smaller than a badger.,Anonymous,4/26/19	,Ada,Southwest Region,38,https	://i	dfg.	idaho	.g	ov/s	peci	es/roadkill/1866651
1866650,2019-04-26,American Badger (Taxidea taxus),No,Unknown,1,Unknown,Dead,Unknown,Unknown,43.57533764,-116.2428724,,,,Anonymous,4/26/19,Ada,Southwest Region,38,https://idfg.idaho.gov/species/roadkill/1866650								
1866635,2019-04-25,Red Fox (Vulpes vulpes),No,Unknown,1,Unknown,Dead,Fish and Game Removal,Fresh,43.29890801,-115.0547061,US-20,,,idfg-hturner,4/25/19,Camas,Magic Valley Region,45,https://idfg.idaho.gov/species/roadkill/1866635								
1866624,2019-04-25,Mule Deer (Odocoileus hemionus),No,Male,1,Mature (Adult),Dead,Fish and Game Removal,Moderate,42.79402,-112.33302,,,,idfg-mpacioretty,4/25/19,Bannock,Southeast Region,70,https://idfg.idaho.gov/species/roadkill/1866624								
1866621,2019-04-25,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Fish and Game Removal,Moderate,42.7914779,-112.3243549,,,,idfg-mpacioretty,4/25/19,Bannock,Southeast Region,70,https://idfg.idaho.gov/species/roadkill/1866621								
1866623,2019-04-25,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Moved to Woods-Brush,Moderate,43.31589498,-115.1767821,US-20,,Greater than one week old,idfg-hturner,4/25/19,Elmore,Magic Valley Region,44,https://idfg.idaho.gov/species/roadkill/1866623								
1866622,2019-04-25,Mule Deer (Odocoileus hemionus),No,Male,1,Juvenile,Dead,Moved to Woods-Brush,Fresh,43.31624199,-115.1822206,US-20,,Fresh within last week,idfg-hturner,4/25/19,Elmore,Magic Valley Region,45,https://idfg.idaho.gov/species/roadkill/1866622								
1866616,2019-04-15,Mule Deer (Odocoileus hemionus),Yes,Male,1,Unknown,Dead,Unknown,Unknown,42.09808401,-111.9974468,,,MD buck was hit by a motorcycle and both back legs had been broken.  Deer was dispatched by Officer Stohosky.  Whole animal taken by Talon Graham,Anonymous,4/25/19,Franklin,Southea	st Region,73,https://idfg.idah	o.go	v/sp	ecies	/r	oadk	ill/	1866616
1866612,2019-04-25,Ring-billed Gull (Larus delawarensis),No,Unknown,1,Mature (Adult),Dead,Fish and Game Removal,Fresh,43.32181353,-114.1226802,US-20,,My first gull,idfg-hturner,4/25/19,Blaine,Magic Valley Region,49,https://idfg.idaho.gov/species/roadkill/1866612								
1866608,2019-04-25,Red-tailed Hawk (Buteo jamaicensis),No,Female,1,Mature (Adult),Dead,Fish and Game Removal,Moderate,43.52125102,-112.2244862,US-20,,,idfg-hturner,4/25/19,Bonneville,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1866608								
1866607,2019-04-25,Swainson's Hawk (Buteo swainsoni),No,Unknown,1,Mature (Adult),Dead,Fish and Game Removal,Advanced,43.50902291,-112.1899416,US-20,,Very old,idfg-hturner,4/25/19,Bonneville,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1866607								
1866606,2019-04-25,Mule Deer (Odocoileus hemionus),No,Female,1,Unknown,Dead,Unknown,Unknown,42.81660349,-112.4045039,,,,Anonymous,4/25/19,Bannock,Southeast Region,70,https://idfg.idaho.gov/species/roadkill/1866606								
